financial_year,real_passenger_income_m,real_income_3yr_ma
2015/16,4587.0,4587.0
2016/17,4630.647983487104,4608.823991743552
2017/18,4462.2283299632145,4559.958771150106
2018/19,4568.355537840777,4553.743950430366
2019/20,4396.130030661128,4475.571299488373
2020/21,1468.669609770294,3477.7183927574
2021/22,2792.6060829480575,2885.8019077931604
2022/23,3543.0581329855668,2601.444608567973
2023/24,4052.65374098339,3462.7726523056713
2024/25,4218.756789880224,3938.15622128306
2025/26,4284.220260929662,4185.2102639310915
2026/27,4330.840499202668,4277.9391833375175
2027/28,4202.780127260925,4272.613629131085
2028/29,4079.852175828336,4204.49093409731
2029/30,3960.7538461603685,4081.128716416543
2030/31,3845.1729185243776,3961.9263135043607
