scenario,financial_year,fy_start,avg_inflation,inflation_shock_pp,adj_avg_inflation,price_index,passenger_income_m,real_passenger_income_m
baseline,2027/28,2027,3.047039532501151,0.0,3.047039532501151,148.0686548324314,6223.0,4202.780127260925
baseline,2028/29,2028,3.0130491531260177,0.0,3.0130491531260177,152.53003618290506,6223.0,4079.852175828336
baseline,2029/30,2029,3.0069611567359478,0.0,3.0069611567359478,157.1165551232803,6223.0,3960.7538461603685
baseline,2030/31,2030,3.005870739367067,0.0,3.005870739367067,161.8392756804325,6223.0,3845.1729185243776
low_inflation_-1pp,2027/28,2027,3.047039532501151,-1.0,2.047039532501151,146.63175130270184,6223.0,4243.9648607575045
low_inflation_-1pp,2028/29,2028,3.0130491531260177,-1.0,2.0130491531260177,149.58352053051473,6223.0,4160.2176348901485
low_inflation_-1pp,2029/30,2029,3.0069611567359478,-1.0,2.0069611567359478,152.58560368444031,6223.0,4078.366405306283
low_inflation_-1pp,2030/31,2030,3.005870739367067,-1.0,2.005870739367067,155.6462736612331,6223.0,3998.1683169264115
high_inflation_+1pp,2027/28,2027,3.047039532501151,1.0,4.047039532501151,149.5055583621609,6223.0,4162.387049801494
high_inflation_+1pp,2028/29,2028,3.0130491531260177,1.0,4.013049153126017,155.50528990588992,6223.0,4001.793124700832
high_inflation_+1pp,2029/30,2029,3.0069611567359478,1.0,4.006961156735947,161.73632646908857,6223.0,3847.6204671245296
high_inflation_+1pp,2030/31,2030,3.005870739367067,1.0,4.005870739367067,168.21527464604097,6223.0,3699.4262340887017
